FILE_NAME,DATE_ANNOTATED,MKGROUP,MKIDS,TOYS,UNKNOWN_GUESS,COMMENTS
20220308_SD02_2923.JPG,6/22/22,Stranger Things,[DF2I],,,
20220308_SD02_2924.JPG,6/22/22,Stranger Things,[DF2I],,,
20220317_SD02_3182.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3183.JPG,6/22/22,Stranger Things,"[58I, 46J]",,,
20220317_SD02_3184.JPG,6/22/22,Stranger Things,[37I],,,
20220317_SD02_3185.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3186.JPG,6/22/22,Stranger Things,"[58I, 46J]",,,
20220317_SD02_3188.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3190.JPG,6/22/22,Stranger Things,"[58I, 46J]",,,
20220317_SD02_3192.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3193.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3194.JPG,6/22/22,Stranger Things,"[58I, 46J]",,,
20220317_SD02_3196.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3197.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3198.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3199.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3209.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3210.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3212.JPG,6/22/22,Stranger Things,[58I],,,
20220317_SD02_3218.JPG,6/22/22,Stranger Things,[26J],,,
20220317_SD02_3219.JPG,6/22/22,Stranger Things,"[26J, Unknown1]",,NN,
20220317_SD02_3225.JPG,6/22/22,Stranger Things,[DF2I],,,
20220331_SD02_3414.JPG,6/22/22,Stranger Things,[Unknown1],,J,
20220331_SD02_3417.JPG,6/22/22,Stranger Things,"[0EX, 36J]",,,
20220331_SD02_3418.JPG,6/22/22,Stranger Things,[DF2I],,,
20220331_SD02_3419.JPG,6/22/22,Stranger Things,[Unknown1],,Juvenile,
20220331_SD02_3421.JPG,6/22/22,Stranger Things,"[0FL, 46J]",Grenade,,
20220331_SD02_3422.JPG,6/22/22,Stranger Things,"[0FL, 46J]",,,
20220331_SD02_3424.JPG,6/22/22,Stranger Things,"[0FL, 46J]",,,
20220331_SD02_3425.JPG,6/22/22,Stranger Things,"[0FL, 46J]",,,
20220331_SD02_3593.JPG,6/22/22,Stranger Things,"[DF2I, 58I]",,,
20220331_SD02_3594.JPG,6/22/22,Stranger Things,"[DF2I, 58I]",,,
20220331_SD02_3597.JPG,6/22/22,Stranger Things,"[DF2I, Unknown1]",Grenade,Juvenile,
20220331_SD02_3604.JPG,6/22/22,Stranger Things,[DF2I],,,
20220331_SD02_3610.JPG,6/22/22,Stranger Things,[DF2I],,,
20220331_SD02_3613.JPG,6/22/22,Stranger Things,[37I],,,
20220331_SD02_3615.JPG,6/22/22,Stranger Things,"[DF2I, 26J]",,,
20220331_SD02_3617.JPG,6/22/22,Stranger Things,[DF2I],,,
20220331_SD02_3619.JPG,6/22/22,Stranger Things,[DF2I],,,
20220331_SD02_3625.JPG,6/22/22,Stranger Things,[37I],,,
20220331_SD02_3626.JPG,6/22/22,Stranger Things,"[DF2I, 37I]",,,
20220331_SD02_3628.JPG,6/22/22,Stranger Things,"[DF2I, 37I]",,,
20220331_SD02_3631.JPG,6/22/22,Stranger Things,"[DF2I, 37I]",,,
20220331_SD02_3632.JPG,6/22/22,Stranger Things,[37I],,,
20220331_SD02_3634.JPG,6/22/22,Stranger Things,[37I],,,
20220331_SD02_3643.JPG,6/22/22,Stranger Things,[37I],,,
20220331_SD02_3644.JPG,6/22/22,Stranger Things,[37I],,,
20220331_SD02_3645.JPG,6/22/22,Stranger Things,[26J],,,
20220331_SD02_3647.JPG,6/22/22,Stranger Things,[DF2I],,,
20220331_SD02_3648.JPG,6/22/22,Stranger Things,[26J],,,
20220331_SD02_3656.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220331_SD02_3660.JPG,6/22/22,Stranger Things,"[0EX, 36J]",,,
20220331_SD02_3662.JPG,6/22/22,Stranger Things,"[0EX, 36J]",,,
20220331_SD02_3663.JPG,6/22/22,Stranger Things,"[DF2I, Unknown1]",,Adult Female,
20220331_SD02_3664.JPG,6/22/22,Stranger Things,[DF2I],,,
20220331_SD02_3666.JPG,6/22/22,Stranger Things,"[0EX,36J]",,,
20220406_SD01_3765.JPG,6/22/22,Stranger Things,"[68Y, Unknown1]",,J,
20220406_SD01_3766.JPG,6/22/22,Stranger Things,[26J],,,
20220407_SD03_3987.JPG,6/22/22,Stranger Things,[58I],,,
20220407_SD03_3988.JPG,6/22/22,Stranger Things,[58I],,,
20220407_SD03_3989.JPG,6/22/22,Stranger Things,[36J],,,
20220407_SD03_3990.JPG,6/22/22,Stranger Things,[36J],,,
20220407_SD03_3994.JPG,6/22/22,Stranger Things,[DF2I],,,
20220407_SD03_3996.JPG,6/22/22,Stranger Things,[58I],,,
20220407_SD03_3997.JPG,6/22/22,Stranger Things,[Unknown1],,I,
20220407_SD03_4003.JPG,6/22/22,Stranger Things,[Unknown1],,J,
20220415_SD01_4105.JPG,6/22/22,Stranger Things,[Unknown1],Grenade,Juvenile,
20220415_SD01_4109.JPG,6/22/22,Stranger Things,[58I],,,
20220415_SD01_4110.JPG,6/22/22,Stranger Things,[58I],,,
20220415_SD01_4112.JPG,6/22/22,Stranger Things,[58I],,,
20220415_SD01_4116.JPG,6/22/22,Stranger Things,[58I],,,
20220415_SD01_4119.JPG,6/22/22,Stranger Things,[58I],,,
20220415_SD01_4120.JPG,6/22/22,Stranger Things,[58I],,,
20220415_SD01_4133.JPG,6/22/22,Stranger Things,[58I],,,
20220419_SD02_4259.JPG,6/22/22,Stranger Things,"[0FL, 46J, 40J]",,,
20220419_SD02_4260.JPG,6/22/22,Stranger Things,"[0FL, 46J]",,,
20220419_SD02_4263.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4264.JPG,6/22/22,Stranger Things,"[DF2I, Unknown1]",,Adult Female,
20220419_SD02_4265.JPG,6/22/22,Stranger Things,"[DF2I, Unknown1]",,Adult Female,
20220419_SD02_4267.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4270.JPG,6/22/22,Stranger Things,"[DF2I, 68Y]",,,
20220419_SD02_4272.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4273.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4278.JPG,6/22/22,Stranger Things,[37I],,,
20220419_SD02_4280.JPG,6/22/22,Stranger Things,[37I],,,
20220419_SD02_4281.JPG,6/22/22,Stranger Things,[37I],,,
20220419_SD02_4282.JPG,6/22/22,Stranger Things,[37I],,,
20220419_SD02_4283.JPG,6/22/22,Stranger Things,[37I],,,
20220419_SD02_4284.JPG,6/22/22,Stranger Things,[37I],,,
20220419_SD02_4286.JPG,6/22/22,Stranger Things,[37I],,,
20220419_SD02_4296.JPG,6/22/22,Stranger Things,[68Y],,,
20220419_SD02_4297.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4298.JPG,6/22/22,Stranger Things,[68Y],,,
20220419_SD02_4299.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4300.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4301.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4310.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4315.JPG,6/22/22,Stranger Things,[58I],,,
20220419_SD02_4321.JPG,6/22/22,Stranger Things,"[0FL, 46J]",Megalast Ball,,
20220419_SD02_4322.JPG,6/22/22,Stranger Things,"[0FL, 46J]",Megalast Ball,,
20220419_SD02_4323.JPG,6/22/22,Stranger Things,[58I],,,
20220419_SD02_4324.JPG,6/22/22,Stranger Things,[58I],,,
20220419_SD02_4326.JPG,6/22/22,Stranger Things,"[0FL, 46J]",Megalast Ball,,
20220419_SD02_4327.JPG,6/22/22,Stranger Things,"[0FL, 46J]",Megalast Ball,,
20220419_SD02_4329.JPG,6/22/22,Stranger Things,"[0FL, 46J]",Megalast Ball,,
20220419_SD02_4331.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4332.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4334.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4336.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4337.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4338.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4339.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4340.JPG,6/22/22,Stranger Things,"[68Y, 26J]",,,
20220419_SD02_4344.JPG,6/22/22,Stranger Things,"[0FL, 58I, 46J]",,,
20220419_SD02_4345.JPG,6/22/22,Stranger Things,"[0FL, 58I, 46J]",,,
20220419_SD02_4346.JPG,6/22/22,Stranger Things,"[0FL, 58I, 46J]",,,
20220419_SD02_4347.JPG,6/22/22,Stranger Things,"[0FL, 58I, 46J]",,,
20220419_SD02_4348.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4349.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4352.JPG,6/22/22,Stranger Things,[DF2I],,,
20220419_SD02_4353.JPG,6/22/22,Stranger Things,"[0EX, Unknown1]",Megalast Ball,NN,
20220419_SD02_4358.JPG,6/22/22,Stranger Things,"[0EX, Unknown1]",Megalast Ball,J,
20220419_SD02_4372.JPG,6/22/22,Stranger Things,"[0EX, 36J]",,,
20220419_SD02_4375.JPG,6/22/22,Stranger Things,"[0FL, 46J, 0EX]",Grenade,,
20220419_SD02_4376.JPG,6/22/22,Stranger Things,"[0EX, 40J]","Lucky Clover Chew, Grenade",,
20220419_SD02_4377.JPG,6/22/22,Stranger Things,"[0EX, 40J]","Lucky Clover Chew, Grenade",,
20220419_SD02_4378.JPG,6/22/22,Stranger Things,"[0EX, 40J]","Lucky Clover Chew, Grenade",,
